,mass,redshift,x,y,z,radius,temp,t_id,id,d_id,is_sf,is_sf_first,mm_prog_id,time,dm,dt,dmdt,dyn_heating
54,3511940.25,16.001020431518555,0.1971299946308136,0.3793199956417084,0.1038900017738342,0.0032890001311898,3844.5639593801407,476709.0,412813.0,476709.0,1,0,346617.0,231.6678964033874,662686.5,18.987911605947204,34900.44159424252,2.506093513178056e-28
55,2849253.75,16.998559951782227,0.1969600021839141,0.3793500065803528,0.1038200035691261,0.0030680003110319,3540.4669001777,476709.0,346617.0,412813.0,1,0,275891.0,212.6799847974402,477612.0,16.5981957081423,28774.93484220733,2.345363365737788e-28
56,2371641.75,18.00057029724121,0.196720004081726,0.3793100118637085,0.1037700027227401,0.0028860000893473,3307.225619535493,476709.0,275891.0,346617.0,1,0,214259.0,196.0817890892979,500000.0,14.511235540830228,34456.05982985744,3.1517134699071045e-28
57,1871641.75,19.0,0.196490004658699,0.3793100118637085,0.1037399992346763,0.0026670002844184,2972.848700838434,476709.0,214259.0,275891.0,1,0,162147.0,181.57055354846767,391194.0,12.807605791256492,30543.88200072965,3.1822968893360695e-28
58,1480447.75,19.99958038330078,0.1962900012731552,0.3792600035667419,0.1036799997091293,0.0024670001585036,2669.7104799913573,476709.0,162147.0,214259.0,1,0,119519.0,168.76294775721118,1430164.16796875,11.350404355654462,126001.16464188178,1.4904314967838179e-27
59,50283.58203125,20.997360229492188,0.1954499930143356,0.3783999979496002,0.1030400022864341,0.0007990000885911,293.2990021701598,476709.0,119519.0,162147.0,1,0,85565.0,157.41254340155672,4805.97265625,10.170670546238483,472.53252717220687,1.807933553683266e-29
60,45477.609375,21.99907875061035,0.1947299987077713,0.3778199851512909,0.1026400029659271,0.0007730000652372,286.7891968289726,476709.0,85565.0,119519.0,1,1,58382.0,147.24187285531823,-10865.671875,9.097331349510483,-1194.380138257212,0.0
61,56343.28125,22.99808120727539,0.1940300017595291,0.3773699998855591,0.1023899987339973,0.0008300000336021,345.18896668616526,476709.0,58382.0,85565.0,0,0,37393.0,138.14454150580775,9298.5078125,8.220422904162973,1131.1471345094747,4.545694537999181e-29
62,47044.7734375,24.0,0.1932899951934814,0.3770099878311157,0.1021699979901313,0.0007810000679455,318.8588654700613,476709.0,37393.0,58382.0,0,0,21503.0,129.92411860164478,6373.1328125,7.430117858677974,857.7431655483805,3.81338592979246e-29
63,40671.640625,25.001039505004883,0.1926800012588501,0.3767400085926056,0.1020400002598762,0.0007440000772476,300.9549983797958,476709.0,21503.0,37393.0,0,0,-1.0,122.4940007429668,,,,0.0
64,3764179.0,15.0,0.3748100101947784,0.3334099948406219,0.0698999986052513,0.0033660000190138,3789.491079013621,503269.0,503269.0,-1.0,1,0,440853.0,253.74185883223876,1702985.0,22.07396242885136,77149.03952967435,5.094569879085426e-28
65,2061194.0,16.001020431518555,0.3760600090026855,0.3335199952125549,0.0681099966168403,0.0027540000155568,2695.017497547534,503269.0,440853.0,503269.0,1,1,375488.0,231.6678964033874,1266567.1875,18.987911605947204,66703.87000871115,5.72084431817621e-28
66,794626.8125,16.998559951782227,0.3770599961280823,0.333400011062622,0.0664499998092651,0.0020050001330673,1511.2927910403173,503269.0,375488.0,440853.0,0,0,300551.0,212.6799847974402,339999.96875,16.5981957081423,20484.15229754231,2.5554640173774475e-28
67,454626.84375,18.00057029724121,0.3779599964618683,0.3334999978542328,0.065090000629425,0.0016640000976622,1099.514959478655,503269.0,300551.0,375488.0,0,0,234771.0,196.0817890892979,197313.421875,14.511235540830228,13597.286138717804,2.157072203312673e-28
68,257313.421875,19.0,0.3790600001811981,0.333950012922287,0.064419999718666,0.0013770000077784,791.892012570053,503269.0,234771.0,300551.0,0,0,178632.0,181.57055354846767,117537.3125,12.807605791256492,9177.149454446862,1.85258313024865e-28
69,139776.109375,19.99958038330078,0.379830002784729,0.3341799974441528,0.063629999756813,0.0011230000527575,553.5507003876352,503269.0,178632.0,234771.0,0,0,132494.0,168.76294775721118,35552.234375,11.350404355654462,3132.2438620690064,8.136664367666643e-29
70,104223.875,20.997360229492188,0.3803600072860718,0.3343999981880188,0.0629300028085708,0.0010190000757575,476.8018637550194,503269.0,132494.0,178632.0,0,0,95883.0,157.41254340155672,27388.0546875,10.170670546238483,2692.846510265657,8.080694841522371e-29
71,76835.8203125,21.99907875061035,0.3807800114154815,0.3345800042152405,0.0621999986469745,0.0009200000786222,406.82427835066846,503269.0,95883.0,132494.0,0,0,66273.0,147.24187285531823,25507.46484375,9.097331349510483,2803.840364143989,9.737843541588337e-29
72,51328.35546875,22.99808120727539,0.3812699913978576,0.3347800076007843,0.0617399998009204,0.0008040000684559,324.3897007311757,503269.0,66273.0,95883.0,0,0,43300.0,138.14454150580775,20492.53515625,8.220422904162973,2492.8808888740023,1.0334217879486698e-28
73,30835.8203125,24.0,0.3814699947834015,0.3348399996757507,0.0608999989926815,0.0006790000479668,240.59942504480748,503269.0,43300.0,66273.0,0,0,-1.0,129.92411860164478,,,,0.0
74,223134.328125,16.998559951782227,0.3755300045013428,0.3336000144481659,0.0658499971032142,0.0013129999861121,648.0632110539527,503269.0,375489.0,440853.0,0,0,300554.0,212.6799847974402,17761.203125,16.5981957081423,1070.0683036462322,2.0385851545919834e-29
75,205373.125,18.00057029724121,0.3754200041294098,0.3332000076770782,0.0647400021553039,0.0012770000612363,647.3316492437191,503269.0,300554.0,375489.0,0,0,234779.0,196.0817890892979,40149.25,14.511235540830228,2766.7699202478075,5.720350677380555e-29
76,165223.875,19.0,0.3751899898052215,0.332859992980957,0.063799999654293,0.0011870000744238,589.3946902771571,503269.0,234779.0,300554.0,0,0,178642.0,181.57055354846767,36119.3984375,12.807605791256492,2820.152261569295,6.598912210807836e-29
77,129104.4765625,19.99958038330078,0.3752999901771545,0.332639992237091,0.0629199966788292,0.0010940000647678,525.0044505009216,503269.0,178642.0,234779.0,0,0,132504.0,168.76294775721118,29373.140625,11.350404355654462,2587.8497104261405,6.902828970851687e-29
78,99731.3359375,20.997360229492188,0.3754000067710876,0.3324599862098694,0.062169998884201,0.0010039999615401,462.9999020380565,503269.0,132504.0,178642.0,0,0,95893.0,157.41254340155672,40462.6796875,10.170670546238483,3978.3689289261956,1.2114924034684112e-28
